Sport,HS_US_Women,College_US_Women,NCAA1_Women,Perc_College_Women,Perc_NCAA1_Women,College_Odds_Women,NCAA1_Odds_Women
Basketball,409185,26765,4475, 6.5,1.1,15:1,91:1
Bowling,30111,1816,315,6.0,	1.0,17:1,96:1
Cross Country,222652,18538,5475,8.3,2.5,12:1,41:1
Field Hockey,61741,5463,1257,8.8,2.0,11:1,49:1
Golf,92666,6019,1532,6.5,1.7,15:1,61:1
Ice Hockey,12496,2107,513,16.9,4.1,6:1,24:1
Lacrosse,106050,13745,3716,13.0,3.5,8:1,29:1
Soccer,406169,39384,8533,9.7,2.1,10:1,48:1
Softball,379925,33219,6462,8.7,1.7,11:1,59:1
Swimming & Diving,185978,13272,4972,7.1,2.7,14:1,37:1
Tennis,195235,7082,1078,3.6,0.6,28:1,181:1
Track & Field,498131,34080,12322,6.8,2.5,15:1,40:1
Volleyball,461956,27708,5081,6.0,1.1,17:1,91:1
Water Polo,22174,1755,654,7.9,2.9,13:1,34:1
